case_id,symptom,topology_note,concept_tag,severity,osi_layer,show_outputs,expected_fault
NET-001,PC1 in VLAN 30 cannot reach Server1 in VLAN 30; gateway ping fails.,PC1 (192.168.30.50) is in VLAN 30. Default gateway is Router sub-interface GigabitEthernet0/0.30 (192.168.30.1).,Gateway,High,Layer 1,"Router# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0     unassigned      YES unset  up                    up
GigabitEthernet0/0.10  192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20  192.168.20.1    YES manual up                    up
GigabitEthernet0/0.30  192.168.30.1    YES manual administratively down down
GigabitEthernet0/1     10.1.1.1        YES manual up                    up
",Sub-interface GigabitEthernet0/0.30 is administratively down.
NET-002,PC1 in VLAN 10 cannot ping its default gateway 192.168.10.1.,"PC1 IP: 192.168.10.50, Mask: 255.255.255.0, Default Gateway: 192.168.10.1. Switch1 trunk is configured and active.",Gateway,Medium,Layer 3,"Router# show running-config interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.2 255.255.255.0
",Router interface IP configuration mismatch (configured as 192.168.10.2 instead of default gateway 192.168.10.1).
NET-003,PC2 in VLAN 20 is plugged into Switch port FastEthernet0/5 but has no network connectivity.,PC2 should be in VLAN 20. Switch1 port Fa0/5 is assigned to VLAN 20.,VLAN,High,Layer 2,"Switch1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Sales                            active    Fa0/6, Fa0/7
30   Engineering                      active    Fa0/8, Fa0/9

Switch1# show running-config interface FastEthernet0/5
interface FastEthernet0/5
 switchport access vlan 20
 switchport mode access
",VLAN 20 is missing from the Switch's active VLAN database.
NET-004,VLAN 10 hosts cannot communicate across Switch1 and Switch2.,Switch1 and Switch2 are connected via GigabitEthernet0/1. Both switches host VLAN 10 and VLAN 20.,VLAN,High,Layer 2,"Switch1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       20,30
",VLAN 10 is missing from the allowed VLAN list on the trunk port GigabitEthernet0/1.
NET-005,"Switch console is flooded with native VLAN mismatch messages, and traffic on native VLAN is leaking.",Switch1 Gi0/1 connects to Switch2 Gi0/1.,VLAN,Medium,Layer 2,"Switch1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      10

Switch2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99
","Native VLAN mismatch on trunk link: Switch1 Native VLAN is 10, Switch2 is 99."
NET-006,"Newly connected PCs are unable to get an IP address, getting APIPA 169.254.x.x addresses.",Router provides DHCP service via pool OFFICE_POOL.,DHCP,High,Layer 7,"Router# show ip dhcp pool OFFICE_POOL
Pool OFFICE_POOL :
 Utilization mark (dilution) is 100
 Current index        IP address range             Leased/Excluded/Total
 192.168.1.254        192.168.1.10-192.168.1.254   245/0/245
",DHCP address pool OFFICE_POOL is exhausted (utilization is 100%).
NET-007,"PCs in VLAN 10 fail to receive IP addresses via DHCP, but PCs in VLAN 50 (where DHCP Server is located) work fine.",DHCP Server is at 10.1.1.5 (VLAN 50). Router sub-interface Gi0/0.10 serves VLAN 10.,DHCP,High,Layer 3,"Router# show running-config interface GigabitEthernet0/0.10
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
 ! Missing helper-address pointing to 10.1.1.5
",Missing DHCP helper-address configuration on Router sub-interface GigabitEthernet0/0.10.
NET-008,All clients on the local network fail to get IP addresses from the Router DHCP server.,"Router has a valid DHCP pool configured, but clients cannot lease IPs.",DHCP,High,Layer 7,"Router# show running-config
ip dhcp pool MYPOOL
 network 192.168.1.0 255.255.255.0
 default-router 192.168.1.1
no ip dhcp service
",DHCP service is disabled globally on the router ('no ip dhcp service').
NET-009,Client PCs can ping internal server IPs but cannot browse websites using domain names.,DNS Server is at 192.168.1.10. Client PCs receive DHCP configuration from the Router.,DNS,Medium,Layer 7,"Router# show running-config | section ip dhcp pool
ip dhcp pool CLIENT_POOL
 network 192.168.1.0 255.255.255.0
 default-router 192.168.1.1
 dns-server 192.168.1.100
",DHCP pool distributes incorrect DNS Server IP address (192.168.1.100 instead of 192.168.1.10).
NET-010,"DNS queries fail for all clients, and server is not responding to port 53 UDP requests.",DNS Server is located at 10.1.1.10.,DNS,High,Layer 7,"DNSServer# show service-status
Service: DNS        Status: Disabled
Service: HTTP       Status: Enabled
Service: HTTPS      Status: Enabled
",DNS Server service is disabled on the DNS Server host.
